iter	Passed	Remaining
0	179	179738
1	182	90894
2	183	60999
3	184	46037
4	186	37055
5	187	31067
6	190	27073
7	192	23839
8	193	21281
9	194	19240
10	195	17547
11	195	16134
12	196	14935
13	197	13925
14	198	13034
15	199	12267
16	200	11578
17	201	10972
18	201	10427
19	202	9938
20	203	9495
21	204	9112
22	206	8763
23	207	8427
24	208	8114
25	208	7826
26	209	7554
27	210	7304
28	211	7070
29	212	6856
30	212	6654
31	213	6466
32	214	6286
33	215	6126
34	216	5968
35	217	5816
36	218	5677
37	219	5554
38	220	5438
39	221	5323
40	222	5207
41	223	5097
42	224	4995
43	225	4895
44	226	4799
45	226	4707
46	227	4620
47	228	4535
48	230	4466
49	231	4394
50	232	4321
51	233	4249
52	234	4197
53	236	4136
54	237	4072
55	237	4011
56	238	3952
57	239	3893
58	240	3839
59	241	3785
60	242	3736
61	243	3683
62	244	3636
63	245	3589
64	246	3542
65	247	3495
66	248	3453
67	249	3413
68	250	3377
69	251	3338
70	252	3298
71	252	3259
72	253	3222
73	254	3187
74	255	3151
75	256	3118
76	257	3084
77	258	3052
78	259	3020
79	260	2990
80	260	2959
81	261	2930
82	262	2896
83	263	2868
84	264	2847
85	265	2823
86	266	2795
87	267	2770
88	268	2744
89	269	2720
90	269	2696
91	270	2672
92	271	2649
93	272	2626
94	273	2604
95	274	2581
96	275	2560
97	275	2539
98	276	2517
99	277	2497
100	278	2479
101	279	2463
102	280	2445
103	281	2426
104	282	2408
105	283	2390
106	284	2372
107	285	2354
108	285	2337
109	286	2321
110	287	2306
111	288	2289
112	289	2273
113	290	2257
114	291	2241
115	292	2225
116	292	2210
117	293	2197
118	295	2189
119	296	2175
120	297	2162
121	298	2147
122	299	2134
123	300	2120
124	301	2107
125	301	2093
126	302	2079
127	303	2067
128	304	2057
129	305	2044
130	306	2031
131	307	2019
132	308	2009
133	309	1999
134	310	1990
135	311	1978
136	312	1967
137	313	1957
138	314	1945
139	315	1935
140	315	1924
141	316	1911
142	317	1900
143	317	1890
144	318	1879
145	319	1869
146	320	1859
147	321	1849
148	322	1840
149	323	1831
150	324	1825
151	325	1815
152	326	1806
153	327	1797
154	328	1788
155	328	1779
156	329	1770
157	330	1762
158	331	1753
159	332	1744
160	332	1734
161	333	1726
162	334	1718
163	335	1709
164	336	1701
165	336	1692
166	337	1685
167	339	1679
168	340	1673
169	341	1665
170	342	1658
171	343	1651
172	343	1643
173	344	1636
174	345	1629
175	346	1621
176	347	1614
177	348	1607
178	349	1600
179	349	1593
180	350	1587
181	351	1579
182	352	1574
183	353	1568
184	354	1563
185	355	1557
186	356	1550
187	357	1544
188	358	1538
189	359	1531
190	360	1525
191	361	1519
192	361	1513
193	362	1506
194	363	1500
195	364	1494
196	365	1487
197	365	1481
198	366	1476
199	367	1471
200	369	1466
201	369	1461
202	370	1455
203	371	1449
204	372	1443
205	372	1437
206	373	1432
207	374	1427
208	375	1421
209	376	1416
210	377	1411
211	378	1406
212	379	1401
213	380	1395
214	380	1390
215	382	1386
216	383	1383
217	384	1378
218	385	1373
219	385	1368
220	386	1363
